"","video","Bias","positive","negative","sentiment","lgpp","nrc_el","topic"
"121196","LPhcarIiPXs","",NA,NA,NA,NA,NA,NA
"121198","LPjXbxNsEKc","",NA,NA,NA,NA,NA,NA
"121199","LPllpwMuV9Y","LC",NA,NA,NA,NA,NA,NA
"121206","LPluC449j00","",77,40,"positive","LAW_AND_ORDER","anger","politics"
"121207","LPrm0wkjKCQ","C",NA,NA,NA,NA,NA,NA
"121211","LPw7SI2dxmk","",NA,NA,NA,NA,NA,NA
"121213","LPzY0uSVJOw","",22,27,"negative","INSTITUTIONS","trust","economy"
"121214","LQ3192n9KVU","",NA,NA,NA,NA,NA,NA
"121216","LQ71ypBbHrY","LC",NA,NA,NA,NA,NA,NA
"121221","LQ8JOsc3-wU","",NA,NA,NA,NA,NA,NA
"121222","LQC-A6Aukus","",436,231,"positive","LAW_AND_ORDER","positive","society"
"121223","LQCIIcZrboE","",11,2,"positive","GROUPS","negative","military"
"121224","LQCuQBGJfSI","",NA,NA,NA,NA,NA,NA
"121225","LQDm8xCijYk","",NA,NA,NA,NA,NA,NA
"121228","LQHcTSn3Ync","",NA,NA,NA,NA,NA,NA
"121229","LQJHN4gIj9w","",NA,NA,NA,NA,NA,NA
"121230","LQLJu-EpkeE","",NA,NA,NA,NA,NA,NA
"121231","LQMvZ5nvjc8","LC",39,9,"positive","GROUPS","joy","society"
"121232","LQO-7BY50qM","",138,29,"positive","GROUPS","joy","society"
"121238","LQOlBkNMdP4","",NA,NA,NA,NA,NA,NA
"121239","LQQ7ckFW9Ks","",127,99,"positive","VALUES","trust","politics"
"121240","LQmU4QQgAxQ","",105,43,"positive","RURAL","disgust","diplomacy"
"121241","LQs3ZbCdejA","",NA,NA,NA,NA,NA,NA
"121242","LQuAwHuyFko","",NA,NA,NA,NA,NA,NA
"121244","LQv_Nepe5Hw","",165,58,"positive","RURAL","fear","society"
"121245","LR-T2qTLF6o","",NA,NA,NA,NA,NA,NA
"121246","LR2SIWRMrtA","C",84,59,"positive","INSTITUTIONS","anger","politics"
"121247","LRDEGsZR-Ns","",77,28,"positive","URBAN","joy","society"
"121268","LRESLtgBjlM","",NA,NA,NA,NA,NA,NA
"121269","LRLcZeZNzSY","",NA,NA,NA,NA,NA,NA
"121272","LRP2Vw9ix-s","",NA,NA,NA,NA,NA,NA
"121273","LRPpKUqnT8M","",521,263,"positive","VALUES","sadness","society"
"121280","LRQWXFCaOGs","C",NA,NA,NA,NA,NA,NA
"121289","LRSGYI-dseo","",NA,NA,NA,NA,NA,NA
"121290","LRSazCQQNnA","",NA,NA,NA,NA,NA,NA
"121293","LRSsEP-xEQw","",108,41,"positive","ENVIRONMENT","sadness","society"
"121294","LRV185XaMIM","",460,703,"negative","LAW_AND_ORDER","fear","military"
"121298","LRVpPksWbMw","",NA,NA,NA,NA,NA,NA
"121299","LRcLU3dqD4g","",NA,NA,NA,NA,NA,NA
"121300","LRewnxIjo8w","",218,77,"positive","ECONOMY","trust","economy"
"121304","LRk7WR4MjUA","LC",73,39,"positive","LAW_AND_ORDER","negative","military"
"121307","LRlNml-nlPU","",119,67,"positive","URBAN","surprise","diplomacy"
"121308","LRm_H158qc0","",NA,NA,NA,NA,NA,NA
"121309","LRp15GNJBF8","",NA,NA,NA,NA,NA,NA
"121310","LRrYY2JTqCg","",NA,NA,NA,NA,NA,NA
"121312","LRti95NzpuE","C",13,2,"positive","URBAN","surprise","politics"
"121313","LRyndSpc-po","",NA,NA,NA,NA,NA,NA
"121314","LS-cYRPHLNc","",127,71,"positive","GROUPS","joy","society"
"121315","LS9ANdUpTuQ","",694,285,"positive","LAW_AND_ORDER","negative","military"
"121317","LSGXvAnE3DU","L",97,23,"positive","GROUPS","joy","society"
"121319","LSMW1KwCSwc","",NA,NA,NA,NA,NA,NA
"121320","LSMcfqvEbcs","LC",NA,NA,NA,NA,NA,NA
"121321","LSMjwmyyEQY","",37,6,"positive","LAW_AND_ORDER","joy","military"
"121345","LSQT1kMfCTs","L",NA,NA,NA,NA,NA,NA
"121349","LSTdrC3bTyE","",262,120,"positive","CULTURE","joy","economy"
"121350","LSWau3pTyIg","",NA,NA,NA,NA,NA,NA
"121352","LS_CR7UwhRs","",145,121,"positive","ECONOMY","sadness","military"
"121358","LSe7V3UG110","",28,13,"positive","CULTURE","disgust","economy"
"121359","LSfIcggnbBE","",NA,NA,NA,NA,NA,NA
"121362","LSjy2VcLl2U","",184,139,"positive","LAW_AND_ORDER","trust","politics"
"121363","LSu9ywltFB4","",NA,NA,NA,NA,NA,NA
"121364","LSw7eoBbM0U","",323,184,"positive","LAW_AND_ORDER","fear","military"
"121372","LT4pobAylKE","LC",NA,NA,NA,NA,NA,NA
"121374","LTCIiFvWa_Q","",945,424,"positive","CULTURE","joy","economy"
"121376","LTG7TYLE5vs","",50,42,"positive","RURAL","positive","military"
"121377","LTUuNEVY0tM","",100,18,"positive","URBAN","joy","society"
"121378","LTV1Y_QuZOM","R",341,338,"positive","INSTITUTIONS","trust","politics"
"121476","LTW5_Le2jOs","",NA,NA,NA,NA,NA,NA
"121477","LTXTeAt2mpg","",NA,NA,NA,NA,NA,NA
"121478","LTZPvLi3Hdc","",365,149,"positive","VALUES","sadness","society"
"121479","LTa9cqioRDY","",NA,NA,NA,NA,NA,NA
"121480","LTiqnyTWIts","",200,44,"positive","GROUPS","disgust","society"
"121481","LTlZMhsdl5U","",267,255,"positive","ENVIRONMENT","disgust","diplomacy"
"121482","LTnI7cmpDZI","C",141,56,"positive","CULTURE","positive","economy"
"121486","LTxGlUDcTDs","",143,80,"positive","ENVIRONMENT","anger","diplomacy"
"121487","LU2OIkChgFM","LC",NA,NA,NA,NA,NA,NA
"121488","LU51dpZ47Cc","",NA,NA,NA,NA,NA,NA
"121489","LU8mRfyeCFo","L",NA,NA,NA,NA,NA,NA
"121490","LU95BOZyjy0","LC",20,31,"negative","INSTITUTIONS","anger","military"
"121498","LU9H68fpX7s","",NA,NA,NA,NA,NA,NA
"121499","LUDws4JrIiI","",NA,NA,NA,NA,NA,NA
"121500","LUFgxkBPh4Y","C",NA,NA,NA,NA,NA,NA
"121513","LUJ7iHjau2c","",NA,NA,NA,NA,NA,NA
"121518","LUO5HO0C8qc","LC",67,15,"positive","GROUPS","joy","military"
"121520","LUQaCoxybW8","",NA,NA,NA,NA,NA,NA
"121522","LUWxQhnmyw4","LC",76,111,"negative","LAW_AND_ORDER","anger","military"
"121539","LUfwLT5AXvw","",579,192,"positive","CULTURE","disgust","society"
"121540","LUgKR3wFb1k","L",NA,NA,NA,NA,NA,NA
"121541","LUhbZdvtzcw","",115,144,"negative","INSTITUTIONS","anger","economy"
"121552","LUpviTrW0TA","",NA,NA,NA,NA,NA,NA
"121554","LUrukGC8TQA","",3,5,"negative","CULTURE","joy","society"
"121564","LUuuWyCkS_U","LC",106,29,"positive","URBAN","joy","society"
"121565","LUvNrm7yrJM","",880,312,"positive","CULTURE","anticipation","economy"
"121566","LUx_xETYnhM","",NA,NA,NA,NA,NA,NA
"121569","LUxsOgXjqUs","C",NA,NA,NA,NA,NA,NA
"121570","LUyXbbsykXg","",NA,NA,NA,NA,NA,NA
"121571","LV-9-Ptl3Fw","",20,5,"positive","GROUPS","joy","military"
"121574","LV8wWhjTKRU","",122,123,"negative","LAW_AND_ORDER","surprise","economy"
"121576","LVAr3bUql34","L",NA,NA,NA,NA,NA,NA
"121577","LVAw8FiEVa0","",NA,NA,NA,NA,NA,NA
"121578","LVBc7-Te_yA","",69,81,"negative","LAW_AND_ORDER","negative","politics"
"121579","LVKTV2iDstA","LC",NA,NA,NA,NA,NA,NA
"121580","LVLD1lOV_2U","",NA,NA,NA,NA,NA,NA
"121582","LVLecokaRv4","",1222,399,"positive","RURAL","fear","society"
"121584","LVMn-JoeuBE","",112,37,"positive","VALUES","joy","politics"
"121585","LVQomlXMeek","",63,66,"negative","INSTITUTIONS","anger","politics"
"121593","LVR9OBe_yag","",1716,400,"positive","VALUES","joy","politics"
"121594","LVSMOjzRTVo","C",NA,NA,NA,NA,NA,NA
"121595","LVVlOmuWE5A","LC",297,145,"positive","GROUPS","anticipation","economy"
"121596","LVXk8Sj0xYk","",NA,NA,NA,NA,NA,NA
"121597","LVgzOyHVcj4","C",130,94,"positive","VALUES","negative","economy"
"121630","LVi4NrXfxUQ","",NA,NA,NA,NA,NA,NA
"121639","LVjnASDa6Pw","",NA,NA,NA,NA,NA,NA
"121641","LVoZgW7gGyk","",NA,NA,NA,NA,NA,NA
"121642","LVsznL38jgs","",590,191,"positive","RURAL","anticipation","military"
"121644","LVwfef5iVB0","",NA,NA,NA,NA,NA,NA
"121645","LVzxZcB31Jg","",20,12,"positive","LAW_AND_ORDER","anger","politics"
"121646","LW2_eWA71LY","",549,179,"positive","INSTITUTIONS","trust","politics"
"121647","LW43OnmPxIs","C",127,53,"positive","CULTURE","joy","society"
"121652","LW4Ca-3pHfo","C",26,34,"negative","CULTURE","anticipation","diplomacy"
"121660","LWJQJzdqihA","",NA,NA,NA,NA,NA,NA
"121661","LWO_brqUWcA","",NA,NA,NA,NA,NA,NA
"121673","LWP7LQ_5x3U","",119,55,"positive","ENVIRONMENT","sadness","economy"
"121674","LWQfe__fNbs","C",162,121,"positive","ENVIRONMENT","sadness","society"
"121679","LWRLCbkyl7c","",NA,NA,NA,NA,NA,NA
"121684","LWRXV7opL8U","",237,95,"positive","GROUPS","joy","society"
"121686","LWS5bz2LGuE","L",NA,NA,NA,NA,NA,NA
"121688","LWSub0gA15Q","",NA,NA,NA,NA,NA,NA
"121689","LWVZK52AA0I","",172,60,"positive","GROUPS","anger","military"
"121707","LWXU1VJsYnE","",NA,NA,NA,NA,NA,NA
"121708","LWYfPeRbZ6Y","L",NA,NA,NA,NA,NA,NA
"121718","LWYrN98oju8","",NA,NA,NA,NA,NA,NA
"121719","LWeaqISShHw","",NA,NA,NA,NA,NA,NA
"121723","LWfZ7EH0DMU","",158,27,"positive","CULTURE","joy","economy"
"121724","LWg1fm6Ss1M","",NA,NA,NA,NA,NA,NA
"121726","LWh8-2SJeLk","",NA,NA,NA,NA,NA,NA
"121727","LWpsX1GxO7U","",NA,NA,NA,NA,NA,NA
"121728","LWsgbgz5euc","",NA,NA,NA,NA,NA,NA
"121736","LWtUS8arQbA","",228,117,"positive","GROUPS","joy","military"
"121737","LWxH844PHCA","",NA,NA,NA,NA,NA,NA
"121738","LX6iVY2b4U0","",158,24,"positive","RURAL","surprise","diplomacy"
"121743","LX8M7ytOuI0","LC",NA,NA,NA,NA,NA,NA
"121744","LXIgCvVX3ho","",NA,NA,NA,NA,NA,NA
"121747","LXQu55CbiDs","LC",NA,NA,NA,NA,NA,NA
"121768","LXRaKjzj8HU","RC",NA,NA,NA,NA,NA,NA
"121769","LXY4rqbjWfg","",NA,NA,NA,NA,NA,NA
"121772","LXZ6gFlPWYk","",NA,NA,NA,NA,NA,NA
"121775","LXcIQmpq8aM","",NA,NA,NA,NA,NA,NA
"121776","LXhZo682W_c","",NA,NA,NA,NA,NA,NA
"121777","LXlcBlOK5Fg","L",18,18,"positive","INSTITUTIONS","trust","politics"
"121780","LXrWIFYdtCE","LC",NA,NA,NA,NA,NA,NA
"121790","LXuKk0tHtnY","",210,188,"positive","LAW_AND_ORDER","fear","military"
"121799","LXweFxoxuBM","",NA,NA,NA,NA,NA,NA
"121801","LXwfh8XEYq0","C",NA,NA,NA,NA,NA,NA
"121803","LY-GrOmbFp4","LC",32,18,"positive","INSTITUTIONS","trust","politics"
"121804","LY0E-JQxeoY","C",NA,NA,NA,NA,NA,NA
"121806","LY3TGRc-Crk","",NA,NA,NA,NA,NA,NA
"121810","LY4dl_GuPKc","",NA,NA,NA,NA,NA,NA
"121812","LYAQBibxzLY","",NA,NA,NA,NA,NA,NA
"121815","LYKfAKIMFic","",25,21,"positive","VALUES","positive","military"
"121817","LYTy3gL2vJ4","R",19,20,"negative","INSTITUTIONS","trust","diplomacy"
"121819","LYUdnsIn5OU","",126,162,"negative","CULTURE","negative","economy"
"121820","LYYNigzNqpI","",1090,482,"positive","GROUPS","anger","diplomacy"
"121821","LYbPQkANuoc","",13,3,"positive","ENVIRONMENT","disgust","society"
"121825","LYhSfF5fQuQ","LC",NA,NA,NA,NA,NA,NA
"121826","LYi19-Vx6go","C",27,20,"positive","ENVIRONMENT","sadness","society"
"121837","LYl3IZR24MQ","",177,86,"positive","VALUES","positive","society"
"121838","LYlbnPvqyQ4","",NA,NA,NA,NA,NA,NA
"121840","LYlqkRoaF8w","C",NA,NA,NA,NA,NA,NA
"121841","LYmiHAhbY3s","LC",NA,NA,NA,NA,NA,NA
"121843","LYt6oJ_SU6k","LC",NA,NA,NA,NA,NA,NA
"121845","LZ2giAaHNYU","LC",NA,NA,NA,NA,NA,NA
"121846","LZ6j0i0LxNo","LC",540,177,"positive","LAW_AND_ORDER","negative","military"
"121850","LZ823zSv94o","",NA,NA,NA,NA,NA,NA
"121857","LZ8lkhgnCzw","",NA,NA,NA,NA,NA,NA
"121858","LZ9OjAalD6c","LC",NA,NA,NA,NA,NA,NA
"121859","LZF_-XDHZDc","",NA,NA,NA,NA,NA,NA
"121860","LZJiNGmdf2E","",NA,NA,NA,NA,NA,NA
"121864","LZJzACMo7gs","",133,94,"positive","INSTITUTIONS","sadness","politics"
"121865","LZN0OBcthLI","LC",NA,NA,NA,NA,NA,NA
"121867","LZUm2u5iUMc","LC",35,20,"positive","GROUPS","joy","society"
"121868","LZiD4ru6As0","",NA,NA,NA,NA,NA,NA
"121869","LZo4YPRHask","",33,23,"positive","URBAN","joy","society"
"121879","LZu16ZaLgJM","C",82,101,"negative","VALUES","sadness","society"
"121880","L_2Aqj8A3PU","",NA,NA,NA,NA,NA,NA
"121882","L_2GICgTPeo","",NA,NA,NA,NA,NA,NA
"121883","L_5WrH80uUs","",26,24,"positive","GROUPS","disgust","politics"
"121918","L_6SAsypMNM","",316,91,"positive","RURAL","anger","diplomacy"
"121924","L_7ZPHlWXcY","LC",18,45,"negative","INSTITUTIONS","anger","politics"
"121928","L_EefMp9bw8","C",17,39,"negative","LAW_AND_ORDER","anger","military"
"121931","L_KGYDHsRlA","",80,29,"positive","CULTURE","joy","economy"
"121932","L_MwckdMGRU","",NA,NA,NA,NA,NA,NA
"121933","L_Vq43t7rLw","",57,71,"negative","ENVIRONMENT","disgust","diplomacy"
"121958","L_amBkYx_Fk","",86,38,"positive","ECONOMY","trust","economy"
"121959","L_b_mkapDL0","",200,231,"negative","ENVIRONMENT","disgust","diplomacy"
"121964","L_rbd1BI7eQ","",288,198,"positive","ECONOMY","trust","economy"
"121966","L_tsPzj27-0","",NA,NA,NA,NA,NA,NA
"121968","L_za5O1QiTk","",NA,NA,NA,NA,NA,NA
"121969","La-wI4ZCpRI","",NA,NA,NA,NA,NA,NA
"121973","La7P0IGElww","",29,1,"positive","GROUPS","joy","society"
"121975","La9JNBerflo","",47,34,"positive","INSTITUTIONS","anger","politics"
"121976","La9oLLoI5Rc","",244,182,"positive","VALUES","negative","economy"
"121982","LaD1ZzZK0i4","",NA,NA,NA,NA,NA,NA
"121983","LaFV9QbvbY0","",72,15,"positive","CULTURE","joy","economy"
"121984","LaKgpDgkHqA","",48,32,"positive","URBAN","surprise","society"
"121985","LaZ22ELipc0","",NA,NA,NA,NA,NA,NA
"121989","La_215QIT7E","",247,123,"positive","ENVIRONMENT","anger","diplomacy"
"121990","LaaJ3CxEnCY","L",NA,NA,NA,NA,NA,NA
"121991","LadKEstUlaA","",NA,NA,NA,NA,NA,NA
"121992","LaffyLzxHnY","",57,42,"positive","LAW_AND_ORDER","fear","politics"
"121993","LakigMiP63k","L",NA,NA,NA,NA,NA,NA
"122000","LaxaE7tcwu4","LC",NA,NA,NA,NA,NA,NA
"122003","LazM77WrThM","LC",NA,NA,NA,NA,NA,NA
"122005","Lb3FvmyR0ag","LC",41,7,"positive","ENVIRONMENT","anticipation","diplomacy"
"122008","Lb3Z5cGOksY","LC",NA,NA,NA,NA,NA,NA
"122029","Lb6nG70MF0Y","",NA,NA,NA,NA,NA,NA
"122030","LbFjnPxDXUQ","LC",65,28,"positive","URBAN","surprise","diplomacy"
"122043","LbH1ZDImaI8","",NA,NA,NA,NA,NA,NA
"122046","LbKIzP4bmFA","",NA,NA,NA,NA,NA,NA
"122047","LbMj3I6o8ec","",NA,NA,NA,NA,NA,NA
"122048","LbPw9AlVKVM","",NA,NA,NA,NA,NA,NA
"122050","LbQ1Y7xw-iY","",11,7,"positive","ECONOMY","disgust","society"
"122051","LbRpsT01dIQ","",397,230,"positive","VALUES","fear","politics"
"122052","LbY0mBXKKT0","",563,175,"positive","RURAL","surprise","military"
"122053","LbZpO1sqbKE","L",NA,NA,NA,NA,NA,NA
"122078","LbfpyJfI1ho","C",87,42,"positive","LAW_AND_ORDER","trust","society"
"122079","LbhHb7qVjB0","",405,229,"positive","RURAL","anticipation","military"
"122085","Lbiy2kNG1W0","",60,41,"positive","ENVIRONMENT","disgust","diplomacy"
"122086","LbkmJsGv8cg","LC",26,7,"positive","INSTITUTIONS","anger","politics"
"122087","Lble6lnhydY","",NA,NA,NA,NA,NA,NA
"122088","Lbs0kjveA4U","LC",85,39,"positive","VALUES","joy","politics"
"122090","LbuoZYZLipc","",NA,NA,NA,NA,NA,NA
"122091","LbvigHBhfe0","C",8,7,"positive","LAW_AND_ORDER","anger","military"
"122092","Lbyv75CB8jM","L",NA,NA,NA,NA,NA,NA
"122096","LbzIAy2OjsQ","",96,49,"positive","GROUPS","anticipation","diplomacy"
"122097","Lc0y7lgcvtk","",NA,NA,NA,NA,NA,NA
"122098","Lc2QhFfSZfk","",73,33,"positive","RURAL","negative","military"
"122099","Lc3fzQzsA00","",20,30,"negative","ECONOMY","anger","economy"
"122102","Lc7o7ZB1Cow","",15,27,"negative","VALUES","positive","politics"
"122104","LcGJm3k6OKY","LC",38,32,"positive","INSTITUTIONS","anger","politics"
"122106","LcQmeriTxXY","",NA,NA,NA,NA,NA,NA
"122107","LcgG_E9gQJM","",10,14,"negative","CULTURE","negative","economy"
"122110","Lch-3mPeujg","",536,305,"positive","ECONOMY","trust","economy"
"122111","LciefYaAZmc","",52,26,"positive","INSTITUTIONS","trust","politics"
"122158","LckXeIlNXuw","",226,223,"positive","CULTURE","anger","military"
"122214","Lckg1MAH7ZQ","",NA,NA,NA,NA,NA,NA
"122219","LcmA5jflauA","",210,48,"positive","RURAL","negative","military"
"122220","LcmVu3GwcE0","",NA,NA,NA,NA,NA,NA
"122221","Ld8pzIu45F8","",341,201,"positive","ENVIRONMENT","negative","diplomacy"
"122223","Ld9_BSFkz-Q","C",22,6,"positive","RURAL","negative","military"
"122226","LdCdMdszG3M","",65,71,"negative","INSTITUTIONS","trust","economy"
"122228","LdEAz3mjaSw","",NA,NA,NA,NA,NA,NA
"122230","LdHEbOAQFmY","RC",309,212,"positive","VALUES","sadness","politics"
"122311","LdMx2U5tby0","",112,98,"positive","CULTURE","joy","society"
"122312","LdMxCQeGf_0","",NA,NA,NA,NA,NA,NA
"122313","LdOKWCqYfVw","",NA,NA,NA,NA,NA,NA
"122315","LdW9sBk8CT8","",NA,NA,NA,NA,NA,NA
"122316","LdWY8aWxNL4","",74,114,"negative","INSTITUTIONS","trust","military"
"122318","LdZl03BuclI","",114,17,"positive","RURAL","anticipation","military"
"122321","Ld_oeOLT4G4","",NA,NA,NA,NA,NA,NA
"122322","LdaC870Ss8g","",167,33,"positive","GROUPS","joy","society"
"122323","LdbYRdTGaJA","",274,61,"positive","GROUPS","trust","military"
"122324","Lde5NljBJk0","LC",NA,NA,NA,NA,NA,NA
"122334","LdhQzXHYLZ4","LC",137,146,"negative","INSTITUTIONS","anger","economy"
"122336","LdrVVJPlUK4","",36,15,"positive","GROUPS","negative","society"
"122337","LdypKKKQ8uA","",NA,NA,NA,NA,NA,NA
"122339","Le4IgqNPqBE","",404,191,"positive","INSTITUTIONS","sadness","economy"
"122341","LeBKBFAPwNc","C",66,97,"negative","LAW_AND_ORDER","fear","military"
"122343","LeKOoYlyu7Q","LC",NA,NA,NA,NA,NA,NA
"122344","LeQMWdOMa-A","",NA,NA,NA,NA,NA,NA
"122345","LeWZ8hw7Yr0","",445,553,"negative","INSTITUTIONS","anger","politics"
"122347","LeXIFmzfgzM","",NA,NA,NA,NA,NA,NA
"122348","Led4cgVuFCA","LC",NA,NA,NA,NA,NA,NA
"122349","LeiFF0gvqcc","",NA,NA,NA,NA,NA,NA
"122351","LejFaCncuc4","",72,109,"negative","RURAL","fear","military"
"122352","LewPdsjzEic","",NA,NA,NA,NA,NA,NA
"122354","Lex_mt9o64o","",32,28,"positive","INSTITUTIONS","fear","politics"
"122355","Lf6GlS5iIpQ","L",NA,NA,NA,NA,NA,NA
"122357","LfGT_thyKXc","",1047,389,"positive","URBAN","surprise","diplomacy"
"122358","LfHLBOK_3L0","",NA,NA,NA,NA,NA,NA
"122359","LfNuEho9f6g","LC",NA,NA,NA,NA,NA,NA
"122362","LfOOLMEfqbA","",NA,NA,NA,NA,NA,NA
"122363","LfRddMPPbxo","",20,50,"negative","URBAN","joy","society"
"122365","LfWBev7vMyI","",209,171,"positive","VALUES","sadness","politics"
"122366","LfZpLllgd5Q","",162,162,"positive","ENVIRONMENT","disgust","society"
"122393","Lf_SVECaKK8","",NA,NA,NA,NA,NA,NA
"122394","LfaWi3rcb7E","",119,81,"positive","INSTITUTIONS","anger","politics"
"122395","LfcKh-ZeY20","C",NA,NA,NA,NA,NA,NA
"122396","LfgSEwjAeno","LC",112,91,"positive","ECONOMY","trust","politics"
"122462","Lflxx4wM8ig","",93,24,"positive","CULTURE","joy","economy"
"122463","Lft8U7D6Rmc","",NA,NA,NA,NA,NA,NA
"122464","LfwrK4gUxbA","",NA,NA,NA,NA,NA,NA
"122465","LfycThKOX8c","",NA,NA,NA,NA,NA,NA
"122466","Lg37Cbx-kak","",94,72,"positive","ECONOMY","anticipation","military"
"122477","Lg3dBv0JYwU","",251,182,"positive","ENVIRONMENT","trust","society"
"122478","LgCMDmMXuFc","LC",NA,NA,NA,NA,NA,NA
"122479","LgKDXeV7Umo","C",NA,NA,NA,NA,NA,NA
"122480","LgYRUtdKLqk","",NA,NA,NA,NA,NA,NA
"122481","Lgb1Thevt0s","",558,322,"positive","CULTURE","joy","economy"
"122484","Lgl53EXInPc","LC",100,58,"positive","VALUES","trust","politics"
"122486","LguHcRTUZFY","",252,102,"positive","VALUES","joy","politics"
"122491","LgwpwOPEe-I","",NA,NA,NA,NA,NA,NA
"122492","LgzSlJlrdX0","",NA,NA,NA,NA,NA,NA
"122493","Lh1LsxWloTU","C",72,50,"positive","INSTITUTIONS","anger","society"
"122500","LhAKM_gVISg","",104,44,"positive","RURAL","negative","military"
"122501","LhHp1txBeV4","",NA,NA,NA,NA,NA,NA
"122502","LhUcoCOX5JM","",633,518,"positive","VALUES","positive","diplomacy"
"122511","LhWWWCGYcd0","",NA,NA,NA,NA,NA,NA
"122514","LhfyHEfkT8I","",107,63,"positive","ECONOMY","sadness","politics"
"122520","LhjsRjC6B8U","C",80,114,"negative","VALUES","anger","society"
"122530","LhtrsXi1NWQ","LC",NA,NA,NA,NA,NA,NA
"122531","LhvX_RC8k6M","LC",3961,3066,"positive","LAW_AND_ORDER","trust","politics"
"122532","Lhx3LmELwVA","",511,281,"positive","LAW_AND_ORDER","negative","economy"
"122534","LhxN0LXwc2U","R",40,58,"negative","INSTITUTIONS","trust","politics"
"122535","Li-9oMd1rng","",NA,NA,NA,NA,NA,NA
"122536","Li5Xi9mIvDg","",NA,NA,NA,NA,NA,NA
"122537","LiDDlaJYep8","",NA,NA,NA,NA,NA,NA
"122544","LiEU84nHEcY","",60,67,"negative","VALUES","sadness","society"
"122545","LiKCzeqn-kg","",184,85,"positive","CULTURE","disgust","diplomacy"
"122547","LiLiBFMUQ7s","L",0,1,"negative","RURAL","surprise","military"
"122552","LiRhT6iMKlw","",247,119,"positive","LAW_AND_ORDER","positive","politics"
"122553","LiUBXt2NJNA","R",1148,881,"positive","INSTITUTIONS","trust","politics"
"122554","LiYiMi_tEe8","",NA,NA,NA,NA,NA,NA
"122555","LiZFH6_f0tg","",NA,NA,NA,NA,NA,NA
"122556","Lib1Zhq7WGY","",266,121,"positive","GROUPS","disgust","society"
"122558","LidOrxuV8B8","",NA,NA,NA,NA,NA,NA
"122562","LieWDaAA-6I","",119,117,"positive","ECONOMY","sadness","politics"
"122563","LihUo-4xkHo","R",20,24,"negative","INSTITUTIONS","negative","politics"
"122599","Liit4blsrqM","",NA,NA,NA,NA,NA,NA
"122601","LilaqTaQ6ss","C",134,64,"positive","ECONOMY","trust","politics"
"122604","LimytC6bNZ0","",2166,1137,"positive","GROUPS","joy","military"
"122605","LioX3wJ3KWA","",NA,NA,NA,NA,NA,NA
"122606","LiqFVEZZMso","LC",NA,NA,NA,NA,NA,NA
"122609","LirEDmyhjiw","LC",26,4,"positive","RURAL","joy","economy"
"122610","LivPTUUSvxk","",274,82,"positive","LAW_AND_ORDER","negative","society"
"122612","LiyNr_LALlU","",387,242,"positive","VALUES","sadness","politics"
"122613","LiyPWH6Gm3U","LC",49,3,"positive","LAW_AND_ORDER","anger","politics"
"122626","LizmHHfH3Hc","",115,113,"positive","RURAL","negative","military"
"122627","Lj4DTLHoN5c","LC",NA,NA,NA,NA,NA,NA
"122629","Lj8xp6Q8QJw","",NA,NA,NA,NA,NA,NA
"122632","LjA1q6K9-t4","",785,319,"positive","URBAN","sadness","society"
"122633","LjCW4kNVfO8","",886,550,"positive","URBAN","sadness","society"
"122634","LjGqpic7pS4","",406,262,"positive","ECONOMY","positive","economy"
"122635","LjI-_xaXO34","",52,42,"positive","CULTURE","disgust","society"
"122636","LjKd9VgFZm4","",1357,901,"positive","INSTITUTIONS","joy","military"
"122684","LjMaQqKDP54","LC",NA,NA,NA,NA,NA,NA
"122685","LjNPjAGB6pA","LC",NA,NA,NA,NA,NA,NA
"122686","LjQKwFhBFWs","",150,8,"positive","ECONOMY","trust","politics"
"122688","LjTCLAOdouI","",11,3,"positive","ENVIRONMENT","anticipation","military"
"122689","LjWBRcuweTc","",93,115,"negative","CULTURE","joy","society"
"122691","LjWXO67piPw","",50,25,"positive","RURAL","joy","military"
"122694","Ljj62qPhpCg","",NA,NA,NA,NA,NA,NA
"122696","LjjlsW1MDmc","C",165,116,"positive","VALUES","positive","economy"
"122697","LjkByyMrB3Y","",NA,NA,NA,NA,NA,NA
"122698","Ljna1d9mXaU","",0,2,"negative","CULTURE","joy","economy"
"122701","Lju4BweO7zQ","",18,12,"positive","GROUPS","negative","military"
"122702","Lk1xKtZvOQ8","LC",34,18,"positive","ECONOMY","sadness","politics"
"122703","Lk2Y62jjiPc","",259,112,"positive","ENVIRONMENT","disgust","diplomacy"
"122704","Lk3kj1b1P44","",164,34,"positive","RURAL","disgust","economy"
"122705","Lk4GzTkBtJk","",137,62,"positive","ECONOMY","positive","economy"
"122708","Lk9B5Ur39SI","LC",26,11,"positive","CULTURE","trust","society"
"122714","LkAMLueDMnA","R",NA,NA,NA,NA,NA,NA
"122716","LkFeWW9HLxw","",NA,NA,NA,NA,NA,NA
"122717","LkIKCbwBcLU","",342,262,"positive","ENVIRONMENT","disgust","society"
"122723","LkOsgh5kcgQ","LC",46,43,"positive","INSTITUTIONS","sadness","politics"
"122746","LkRm1UJ2yqE","LC",NA,NA,NA,NA,NA,NA
"122759","LkSgxuQrYwY","",185,64,"positive","VALUES","positive","economy"
"122764","LkY_BkIb4QA","L",107,76,"positive","INSTITUTIONS","trust","politics"
"122807","Lk_gUjTN7gA","",NA,NA,NA,NA,NA,NA
"122811","Lkc78SFmvSc","",169,40,"positive","GROUPS","joy","society"
